ConstrIndex	ExIndex	PlaceC	Phrase	Form	Role	Type	KeyLexemes
11467	32603	1	самым	APRO	степень	Circum	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11467	35305	1	такой	APRO	степень	Circum	адъективные_конструкции,близкий,верный,достоверный,доступный,заметный,интересный,неверный,недоступный,незаметный,неинтересный,северный,скверный
11538	36561	1	не	PART	отрицание	Modal	алкать
11538	36563	1	Потом	ADV	последовательность	Circum	алкать
11538	36565	1	беспрестанно	ADV	узуальность	Circum	алкать
11538	40979	1	так	ADV	степень	Circum	алкать
11538	40996	1	страстно	ADV	степень	Circum	алкать
11538	41003	1	В божьем деле	в + Sloc	сфера	Circum	алкать
11538	41014	1	ныне	ADV	время	Circum	алкать
11538	41039	1	уже	ADV		Modal	алкать
11538	41027	1	неутолимо	ADV	интенсивность	Circum	алкать,алкать
11577	40981	1	не	PART	отрицание	Modal	алкать,желать
11577	41009	1	не	PART	отрицание	Modal	алкать,желать
11577	41013	1	Кругом нас	ADV	место	Circum	алкать,желать
11577	41018	1	вечно	ADV	узуальность	Circum	алкать,желать
11577	41020	1	не	PART	отрицание	Modal	алкать,желать
11539	40986	1	вечно	ADV	узуальность	Circum	алкать,желать,пожелать
1001	36571	1	после некоторого молчания	после + Sgen	последовательность	Circum	аплодировать
1001	36573	1	долго	ADV	длительность	Circum	аплодировать
1001	36574	1	пусть	PART		Modal	аплодировать
1001	36581	1	неистово	ADV	интенсивность	Circum	аплодировать
1001	36582	1	Много	ADV	количество	Circum	аплодировать
1001	36591	1	ещё громче	ADV	образ действия	Circum	аплодировать
1001	36593	1	предлагается	Vimpers	речь	Control	аплодировать
1001	42224	1	как	ADV	степень	Circum	аплодировать
1001	42227	1	призвать к ответу за нежелание	S	воля	Control	аплодировать
1001	42231	1	дважды	Sacc	частота	Circum	аплодировать
1001	42234	1	И	PART	усиление	Modal	аплодировать
1001	42241	1	дружно и много	ADV	интенсивность	Circum	аплодировать
1001	42252	1	горячо	ADV	интенсивность	Circum	аплодировать
1001	42255	1	бурно	ADV	интенсивность	Circum	аплодировать
1001	42262	1	по-иному	ADV	образ действия	Circum	аплодировать
1001	42266	1	стоя	Vger	положение тела	Circum	аплодировать
1001	42269	1	в нужных местах	в + Sloc	фаза	Circum	аплодировать
1001	42272	1	всегда	ADV	узуальность	Circum	аплодировать
1001	42273	1	чуть ли не через каждую реплику	через + Sacc	узуальность	Circum	аплодировать
1001	42275	1	так неистово	ADV	интенсивность	Circum	аплодировать
1001	42276	1	неистово	ADV	интенсивность	Circum	аплодировать
1001	42279	1	не	PART	отрицание	Modal	аплодировать
1001	42289	1	минут десять	Sacc	длительность	Circum	аплодировать
1002	36570	1	бурно	ADV	интенсивность	Circum	аплодировать
1002	36583	1	практически стоя	Vger	положение тела	Circum	аплодировать
1002	42226	1	горячо	ADV	интенсивность	Circum	аплодировать
1002	42237	1	мысленно	ADV	образ действия	Circum	аплодировать
1002	42243	1	Столь же бурно, как и при его появлении	ADV	степень	Circum	аплодировать
1002	42248	1	не	PART	отрицание	Modal	аплодировать
1002	42250	1	стоя	Vger	положение тела	Circum	аплодировать
1002	42253	1	И	PART	усиление	Modal	аплодировать
1002	42256	1	И	PART	усиление	Modal	аплодировать
1002	42258	1	бы	PART	сослаг.	Gram	аплодировать
1002	42259	1	будто бы	PART	точность	Modal	аплодировать
1002	42267	1	От имени нашей фирмы и всего народа Москвы	от + Sgen	контрагент	Circum	аплодировать
1002	42270	1	оглушительно	ADV	степень	Circum	аплодировать
1002	42274	1	чуть дольше, чем трио	ADV	длительность	Circum	аплодировать
1002	42287	1	в «Динарзад»	в + Sacc	место	Circum	аплодировать
1002	42291	1	подняв руки	Vger	образ действия	Circum	аплодировать
1002	42292	1	слегка вынося руки за барьер ложи	Vger	сопутствующая ситуация	Circum	аплодировать
1002	143212	1	несколько минут	Sacc	длительность	Circum	аплодировать
11659	36575	1	здесь	ADV	место	Circum	аплодировать
11659	36578	1	таким образом	Sins	вводное	Modal	аплодировать
11659	42230	1	и вовсе не из внутренней потребности, а из вредности или самой новации ради	из + Sgen	причина	Circum	аплодировать
1001	36568	1	в первом ряду	в + Sloc	место	Circum	аплодировать,аплодировать
1001	36576	1	по команде	по + Sdat	причина	Circum	аплодировать,аплодировать
1001	36577	1	в ленинградском Дворце искусств	в + Sloc	место	Circum	аплодировать,аплодировать
1001	36588	1	после первой части большого концерта	после + Sgen	последовательность	Circum	аплодировать,аплодировать
1001	42244	1	Жарко	ADV	степень	Circum	аплодировать,аплодировать
1001	42257	1	не	PART	отрицание	Modal	аплодировать,аплодировать
1001	42260	1	частенько	ADV	частота	Circum	аплодировать,аплодировать
1001	42268	1	восторженно	ADV	эмоция	Circum	аплодировать,аплодировать
1001	42284	1	долго	ADV	длительность	Circum	аплодировать,аплодировать
1002	36572	1	снова	ADV	узуальность	Circum	аплодировать,аплодировать
1002	36587	1	в конце	в + Sloc	фаза	Circum	аплодировать,аплодировать
1002	36592	1	После выступления	после + Sgen	последовательность	Circum	аплодировать,аплодировать
1002	42225	1	пару раз	Sacc	частота	Circum	аплодировать,аплодировать
1002	42290	1	-то	PART		Modal	аплодировать,аплодировать
1001	36590	1	В итоге	в + Sloc	следствие	Modal	аплодировать,аплодировать,аплодировать
1001	42239	1	Ну	INTJ		Modal	аплодировать,аплодировать,аплодировать
1002	42249	1	Действительно	PARENTH	точность	Modal	аплодировать,аплодировать,аплодировать
1002	36584	1	стоя	Vger	положение тела	Circum	аплодировать,аплодировать,аплодировать,аплодировать
1003	36595	1	просто	PART	усиление	Modal	арендовать
1003	36600	1	в Москве	в + Sloc	место	Circum	арендовать
1003	36604	1	уже несколько лет	Sacc	длительность	Circum	арендовать
1003	36608	1	в Красноярском авиационно-техническом колледже	в + Sloc	место	Circum	арендовать
1003	41783	1	помог	V	социальное взаимодействие	Modal	арендовать
1003	41784	1	В Грассе	в + Sloc	место	Circum	арендовать
1003	41788	1	Как	ADV	степень	Circum	арендовать
1003	41793	1	не надо	PRAEDIC	необходимость	Modal	арендовать
1003	41798	1	возможность	S	возможность	Control	арендовать
1003	41807	1	Прибыв в город	Vger	предшествующая ситуация	Circum	арендовать
1003	41808	1	не смогут	V	возможность	Modal	арендовать
1003	41809	1	там	ADV	место	Circum	арендовать
1003	41813	1	лишь	PART	ограничение	Modal	арендовать
1003	41814	1	где	ADV	место	Circum	арендовать
1003	41818	1	Попытка	S	попытка	Control	арендовать
1003	41819	1	Здесь же	ADV	место	Circum	арендовать
1003	41823	1	в зоне действия шенгенской визы	в + Sloc	место	Circum	арендовать
1003	41827	1	войдя в доверие к руководству Московского палеонтологического института	Vger	способ	Circum	арендовать
1003	41830	1	в Константинополе	в + Sloc	место	Circum	арендовать
1003	41831	1	где	ADV	место	Circum	арендовать
1003	41834	1	На их средства	на + Sacc	способ	Circum	арендовать
1003	41836	1	на Новом Арбате	на + Sloc 	место	Circum	арендовать
1003	41838	1	возле морского вокзала	возле + Sgen	место	Circum	арендовать
1003	41841	1	в одном из автомобильных прокатов в столице Египта	в + Sloc	место	Circum	арендовать
1003	41851	1	на бойком месте	на + Sloc 	место	Circum	арендовать
