KeyLexemes	ConstrIndex	PlaceC	Phrase	Form	Role	ExIndex
адъективные_конструкции	11467	1	самым	APRO	степень	32603
адъективные_конструкции	11467	1	такой	APRO	интенсификатор	35305
алкать	11538	1	Потом	ADV	последовательность	36563
алкать	11538	1	беспрестанно	ADV	узуальность	36565
алкать	11538	1	так	ADV	степень	40979
алкать	11538	1	страстно	ADV	степень	40996
алкать	11538	1	В божьем деле	в + Sloc	сфера	41003
алкать	11538	1	ныне	ADV	время	41014
алкать,алкать	11538	1	неутолимо	ADV	интенсивность	41027
алкать,желать	11577	1	Кругом нас	ADV	место	41013
алкать,желать	11577	1	вечно	ADV	узуальность	41018
алкать,желать,пожелать	11539	1	вечно	ADV	узуальность	40986
аплодировать	1001	1	в первом ряду	в + Sloc	место	36568
аплодировать	1001	1	после некоторого молчания	после + Sgen	последовательность	36571
аплодировать	1001	1	долго	ADV	длительность	36573
аплодировать	1001	1	по команде	по + Sdat	причина	36576
аплодировать	1001	1	неистово	ADV	интенсивность	36581
аплодировать	1001	1	Много	ADV	количество	36582
аплодировать	1001	1	ещё громче	ADV	образ действия	36591
аплодировать	1001	1	как	ADV	степень	42224
аплодировать	1001	1	дважды	Sacc	частота	42231
аплодировать	1001	2	тут	ADV	дискурс	42239
аплодировать	1001	1	дружно и много	ADV	интенсивность	42241
аплодировать	1001	1	горячо	ADV	интенсивность	42252
аплодировать	1001	1	бурно	ADV	интенсивность	42255
аплодировать	1001	2	на представлении московского мюзик-холла	на + Sloc 	место	42257
аплодировать	1001	1	частенько	ADV	частота	42260
аплодировать	1001	1	по-иному	ADV	образ действия	42262
аплодировать	1001	1	стоя	Vger	положение тела	42266
аплодировать	1001	1	в нужных местах	в + Sloc	фаза	42269
аплодировать	1001	1	всегда	ADV	узуальность	42272
аплодировать	1001	1	чуть ли не через каждую реплику	через + Sacc	узуальность	42273
аплодировать	1001	1	так неистово	ADV	интенсивность	42275
аплодировать	1001	1	неистово	ADV	интенсивность	42276
аплодировать	1001	1	минут десять	Sacc	длительность	42289
аплодировать	1002	1	бурно	ADV	интенсивность	36570
аплодировать	1002	1	практически стоя	Vger	положение тела	36583
аплодировать	1002	1	горячо	ADV	интенсивность	42226
аплодировать	1002	1	мысленно	ADV	образ действия	42237
аплодировать	1002	1	Столь же бурно, как и при его появлении	ADV	степень	42243
аплодировать	1002	1	стоя	Vger	положение тела	42250
аплодировать	1002	1	От имени нашей фирмы и всего народа Москвы	от + Sgen	контрагент	42267
аплодировать	1002	1	оглушительно	ADV	степень	42270
аплодировать	1002	1	чуть дольше, чем трио	ADV	длительность	42274
аплодировать	1002	1	в «Динарзад»	в + Sacc	место	42287
аплодировать	1002	1	подняв руки	Vger	образ действия	42291
аплодировать	1002	1	слегка вынося руки за барьер ложи	Vger	сопутствующая ситуация	42292
аплодировать	1002	1	несколько минут	Sacc	длительность	143212
аплодировать	11659	1	здесь	ADV	место	36575
аплодировать	11659	1	и вовсе не из внутренней потребности, а из вредности или самой новации ради	из + Sgen	причина	42230
аплодировать,аплодировать	1001	1	в ленинградском Дворце искусств	в + Sloc	место	36577
аплодировать,аплодировать	1001	1	после первой части большого концерта	после + Sgen	последовательность	36588
аплодировать,аплодировать	1001	2	автоматически	ADV	образ действия	36590
аплодировать,аплодировать	1001	1	Жарко	ADV	степень	42244
аплодировать,аплодировать	1001	1	восторженно	ADV	эмоция	42268
аплодировать,аплодировать	1001	1	долго	ADV	длительность	42284
аплодировать,аплодировать	1002	1	снова	ADV	узуальность	36572
аплодировать,аплодировать	1002	1	в конце	в + Sloc	фаза	36587
аплодировать,аплодировать	1002	1	После выступления	после + Sgen	последовательность	36592
аплодировать,аплодировать	1002	1	пару раз	Sacc	частота	42225
аплодировать,аплодировать	1002	2	дружно	ADV	интенсивность	42249
аплодировать,аплодировать,аплодировать	1002	1	стоя	Vger	положение тела	36584
арендовать	1003	1	в Москве	в + Sloc	место	36600
арендовать	1003	1	уже несколько лет	Sacc	длительность	36604
арендовать	1003	1	в общем дворе	в + Sloc	место	36605
арендовать	1003	1	в Красноярском авиационно-техническом колледже	в + Sloc	место	36608
арендовать	1003	1	В Грассе	в + Sloc	место	41784
арендовать	1003	1	Как	NULL	NULL	41788
арендовать	1003	1	в пик деловой активности	в + Sacc	причина	41803
арендовать	1003	1	Прибыв в город	Vger	предшествующая ситуация	41807
арендовать	1003	1	там	ADV	место	41809
арендовать	1003	1	где	NULL	NULL	41814
арендовать	1003	1	Здесь же	ADV	место	41819
арендовать	1003	1	в зоне действия шенгенской визы	в + Sloc	место	41823
арендовать	1003	1	войдя в доверие к руководству Московского палеонтологического института	Vger	способ	41827
арендовать	1003	1	в Константинополе	в + Sloc	место	41830
арендовать	1003	1	где	ADV	место	41831
арендовать	1003	1	На их средства	на + Sacc	способ	41834
арендовать	1003	1	на Новом Арбате	на + Sloc 	место	41836
арендовать	1003	1	возле морского вокзала	возле + Sgen	место	41838
арендовать	1003	1	в одном из автомобильных прокатов в столице Египта	в + Sloc	место	41841
арендовать	1003	2	ей	Sdat	бенефициант	41850
арендовать	1003	1	на бойком месте	на + Sloc 	место	41851
арендовать	1003	1	в котором	в + Sloc	место	41856
арендовать	1004	1	До перезаключения соглашения	до + Sgen	длительность - предел	41817
арендовать	1004	1	тогда	ADV	время	41820
арендовать	1004	1	на три часа в неделю	на + Sacc	срок	41833
арендовать	1005	1	через Иваныча-старшего	через + Sacc	способ	41839
арендовать	1006	1	Для выступлений американцев	для + Sgen	цель	36609
арендовать	1006	1	сразу	ADV	время наступления	41796
арендовать	1006	1	полностью	ADV	охват	41826
арендовать	16371	1	У «Сити Класс»	у + Sgen	контрагент	41792
арендовать	16371	1	чаще	ADV	частота	41810
арендовать	16371	2	на том же заводе	на + Sloc 	место	41824
арендовать	16371	1	в прошлом году	в + Sloc	время	41847
арендовать,арендовать	1003	2	на следующий год	на + Sacc	время	36594
арендовать,арендовать	1003	1	12 августа	Sgen	время	36602
арендовать,арендовать	1003	2	в области	в + Sloc	место	41801
арендовать,арендовать	1003	1	в агентстве Хертца	NULL	NULL	41816
арендовать,арендовать	1003	1	раз в неделю	Sacc	узуальность	41843
арендовать,арендовать	1004	1	в течение многих лет	в + течение + Sgen	длительность	41795
арендовать,арендовать	1005	1	Разместившись в комфортабельном отеле, которому фантазия архитектора придала причудливую форму огромного океанского лайнера	Vger	предшествующая ситуация	41840
арендовать,арендовать	1006	1	в США	в + Sloc	место	36599
арендовать,арендовать	16371	1	поэтому	ADV	мотивировка	41782
арестовать	11877	1	средь бела дня	среди + Sgen	время	36619
арестовать	11877	1	в сорок четвёртом году	в + Sloc	время	36623
арестовать,арестовывать	1007	1	тотчас вслед за этим	ADV	последовательность	36621
арестовать,арестовывать	1007	1	тут же	NULL	NULL	36628
ассигновать	1013	1	под предельно низкий процент	под + Sacc	образ действия	41947
ассигновать	1013	1	щедро	ADV	охват	41958
ассигновать	1014	1	Из бюджета Пентагона на 2005 финансовый год, равного 447 млрд долларов,	из + Sgen	источник	41942
ассигновать	1014	1	в 2005 финансовом году (начинается 1 октября)	в + Sloc	время	41943
ассигновать	1014	1	из этой суммы	из + Sgen	множество	41944
ассигновать	1014	1	в следующем году	в + Sloc	время	41945
ассигновать	1014	1	для поддержания конкурентоспособности в условиях растущей интернационализации деревообрабатывающей отрасли	для + Sgen	цель	41949
ассигновать	1014	1	мне	Sdat	конечный посессор	41960
ассигновать,ассигновать	1014	1	в рамках военной помощи	в + рамках + Sgen	фоновая ситуация	41951
ассоциировать	1016	1	непосредственно	ADV		36684
ассоциировать	1016	1	в своей рекламе	в + Sloc	место	42683
ассоциировать	1016	1	специфически	ADV	образ действия	42709
ассоциировать	11711	1	в приконтактовых участках родингитов	в + Sloc	место	36686
ассоциировать,ассоциировать	1016	1	привычно	ADV	узуальность	42745
баловать	1018	1	безмерно	ADV	степень	36697
баловать	1018	1	без меры	без + Sgen	степень	36705
баловать	1018	1	со страстью	NULL	NULL	36707
баловать	1018	2	в детстве	NULL	NULL	36713
баловать	1018	1	на мою голову	NULL	NULL	36714
баловать	1019	2	пока	ADV		36688
баловать	1020	1	В этом году	NULL	NULL	36696
баловать	1020	1	недолго	NULL	NULL	36719
баловать	1021	2	в девяносто пятом году	в + Sloc	время	36698
баловать	1021	1	как никого больше	NULL	NULL	36708
баловать	1021	2	больше	NULL	NULL	36715
баловать	11837	2	Артём	Snom	обращение	36689
баловать,баловать	1018	1	со всем пылом нерастраченной материнской любви и нежности	с + Sins	образ действия	36702
баловать,баловать	1018	1	слишком	NULL	NULL	36710
баловать,баловать	18446	2	тоже	PART	дискурс	36694
баловать,баловать,баловать	1018	1	Нигде в мире как в России	в + Sloc	место	36704
банный,лист,приставать,пристать	15568	1	Что	ADV	причина	91795
бежать	1033	1	цепляясь за ветки	Vger	сопутствующая ситуация	135353
бежать	1033	1	рядом, задыхаясь, перегоняя друг друга	ADV	место	135359
бежать	1033	1	переваливаясь на очень высоких каблуках	Vger	образ действия	135388
бежать	1033	1	первый	A	депиктив	135389
бежать	1033	2	с цветными карандашами	с + Sins	комитатив	135399
бежать	1033	1	себя не помня	Vger	сопутствующая ситуация	135414
бежать	1033	1	Хорошо	ADV	оценка	135424
бежать	1033	1	быстро	ADV	скорость	135446
бежать	1035	1	нарочно	ADV	цель	135352
бежать	1035	1	вдруг взвизгнув	Vger	предшествующая ситуация	135371
бежать	1035	1	сейчас	ADV	время	135376
бежать	1035	1	в обед	в + Sacc	время	135380
бежать	1035	1	почти что	ADV	точность	135442
бежать	1036	1	как очумевшая овца	как + Sx	сравнение	135392
бежать	1036	1	как можно быстрее и дальше на свой мостик	ADV	скорость	135411
бежать	1041	1	успешно	ADV	результат	135360
бежать	1042	1	прибрав к рукам все сокровища хозяина	Vger	предшествующая ситуация	135410
бежать	1043	1	без оглядки.	без + Sgen	скорость	135390
бежать	1049	1	в прозрачном облачке	в + Sloc	место	135432
бежать	12834	1	дальше	ADV	дискурс	135395
бежать	12835	1	снова	ADV	узуальность	135406
бежать	12835	1	подобно ей	подобно + Sdat	сравнение	135415
бежать	12840	1	поскорее	ADV	скорость	135436
бежать	12842	1	из палаток	из + Sgen	начальная точка	135400
бежать,бежать	1033	1	следом	ADV		135370
бежать,бежать	1035	1	изо всех	из + Sgen	скорость	135365
белка,как,колесо,крутиться	17376	1	тут	ADV	дискурс	83624
белка,как,колесо,крутиться	17376	1	месяцами	Sins	длительность	83677
беречь,сберечь	1064	1	где	ADV	место	43392
беречь,сберечь	1064	1	в ней	в + Sloc	место	106433
беречь,сберечь	1064	1	свято	ADV	степень	106438
беречь,сберечь	1064	1	смолоду	ADV	время - предел	106440
беречь,сберечь	1064	1	натужно	ADV	образ действия	106441
беречь,сберечь	1064	1	весьма	ADV	степень	106450
беречь,сберечь	1064	1	как сокровище	как + Sx	сравнение	106452
беречь,уберечь	1067	1	Как зеницу ока	как + Sx	сравнение	106439
беречь,уберечь	1067	1	как драгоценность	как + Sx	сравнение	106473
беречься,беречься,поберечься,поберечься	1069	1	не очень	ADV	степень	43316
беречься,беречься,поберечься,поберечься	1069	1	год	Sacc	длительность	43384
беречься,поберечься	1069	2	теперь	ADVPRO	время	36726
беречься,поберечься	1069	1	теперь	ADVPRO	время	36733
беречься,поберечься	1069	1	Тогда	ADV	время	43304
беречься,поберечься	1069	1	ночами	Sins	время	43323
беречься,поберечься	1069	1	как может	как + V	степень	43329
беречься,поберечься	1069	1	тогда	ADV	время	43333
беречься,поберечься	1069	1	как-то	ADV	степень	43336
беречься,поберечься	1069	1	в автомобиле	в + Sloc	место	43346
беречься,поберечься	1069	1	тогда	ADV	время	43347
беречься,поберечься	1069	1	Чего	ADV	причина	43366
беречься,поберечься	1069	2	там	ADV	место	43375
беречься,поберечься	1070	1	как чёрт ладана	как + Sx	сравнение	36743
беречься,поберечься	1070	1	смолоду	ADV	время - предел	43344
беседовать	11650	1	неторопливо	ADV	скорость	36760
беседовать	11650	1	регулярно	ADV	частота	36815
беседовать	11650	1	в кулуарах конференции	в + Sloc	место	36816
беседовать	11650	1	тут	ADVPRO	дискурс	40640
беседовать	11650	1	неоднократно	ADV	частота	40648
беседовать	11652	1	час	Sacc	длительность	40625
беседовать,беседовать	11650	1	чаще всего	ADV	частота	36757
беседовать,беседовать	11650	1	Сегодня	ADV	время	36777
беседовать,беседовать	11650	1	негромко	ADV	звук	40628
беседовать,беседовать,беседовать,побеседовать,побеседовать,побеседовать	1072	1	свободно	ADV	образ действия	40632
беседовать,беседовать,побеседовать,побеседовать	1071	1	около полудня	около + Sgen	время	36796
беседовать,беседовать,побеседовать,побеседовать	1071	1	Сейчас	ADV	время	36800
беседовать,беседовать,побеседовать,побеседовать	1071	2	так мирно	ADV	оценка	40622
беседовать,беседовать,побеседовать,побеседовать	1072	1	в темнице	в + Sloc	место	36759
беседовать,беседовать,побеседовать,побеседовать	1072	3	сегодня	ADV	время	36768
беседовать,беседовать,побеседовать,побеседовать	1072	1	мысленно	ADV	образ действия	36786
беседовать,беседовать,побеседовать,побеседовать	1072	1	долго	ADV	длительность	36794
беседовать,беседовать,побеседовать,побеседовать	1072	1	Лет пять назад	Sacc + назад	время	40608
беседовать,беседовать,побеседовать,побеседовать	1072	1	мило	ADV	образ действия	40641
беседовать,побеседовать	1071	1	оживлённо	ADV	образ действия	36745
беседовать,побеседовать	1071	1	Под лавкой	под + Sins	место	36762
беседовать,побеседовать	1071	1	сам	APRO	самостоятельность	36783
беседовать,побеседовать	1071	1	с притворным интересом	с + Sins	образ действия	36792
беседовать,побеседовать	1071	1	у подоконного столика, на котором топорщилась большая измятая газета с растерзанной рыбиной и стояла, покачивая жидкостью, полупустая водочная бутылка о видом председателя, руководящего беседой.	у + Sgen	место	40621
беседовать,побеседовать	1071	1	на лестнице	на + Sloc 	место	40626
беседовать,побеседовать	1071	1	в таком тоне	в + Sloc	оценка	40633
беседовать,побеседовать	1071	1	негромко	ADV	звук	40638
беседовать,побеседовать	1071	1	Очень оживленно	ADV	образ действия	40643
беседовать,побеседовать	1071	1	подолгу	ADV	длительность	40646
беседовать,побеседовать	1072	1	подолгу	ADV	длительность	36748
беседовать,побеседовать	1072	1	в котором	в + Sloc	место	36755
беседовать,побеседовать	1072	1	громко	ADV	звук	36766
беседовать,побеседовать	1072	1	чинно	ADV	образ действия	36767
беседовать,побеседовать	1072	1	долго	ADV	длительность	36772
беседовать,побеседовать	1072	1	любезно	ADV	образ действия	36779
беседовать,побеседовать	1072	1	сейчас	ADV	время	36780
беседовать,побеседовать	1072	1	Дважды	Sacc	частота	36791
беседовать,побеседовать	1072	1	самой	APRO	самостоятельность	36793
беседовать,побеседовать	1072	1	уныло	ADV	оценка	36798
беседовать,побеседовать	1072	1	мысленно	ADV	образ действия	36799
беседовать,побеседовать	1072	1	на ты	на + Sacc	образ действия	36802
беседовать,побеседовать	1072	1	иногда	ADV	узуальность	36804
беседовать,побеседовать	1072	1	пусть и заочно	ADV	образ действия	36812
беседовать,побеседовать	1072	1	где	ADV	место	36814
беседовать,побеседовать	1072	1	Иногда	ADV	узуальность	40611
беседовать,побеседовать	1072	1	долго	ADV	длительность	40613
беседовать,побеседовать	1072	1	Снисходительно	ADV	образ действия	40615
беседовать,побеседовать	1072	2	только днем	Sins	время	40617
беседовать,побеседовать	1072	2	каждый день	Sacc	частота	40620
беседовать,побеседовать	1072	1	Долго	ADV	длительность	40630
беседовать,побеседовать	1072	1	вчера	ADV	время	40637
беседовать,побеседовать	1072	1	долго и обстоятельно	ADV	длительность	40639
беседовать,побеседовать	1073	1	из душевного, школьного знания	из + Sgen	источник	36813
беседовать,побеседовать	1073	1	иногда	ADV	узуальность	40624
беседовать,себя	11651	1	Каким-то непонятным образом	Sins	образ действия	36754
беседовать,себя	11651	1	тихо	ADV	звук	40634
бесить	11672	1	реально	ADV	степень	43426
бесить	11672	2	в таковом качестве	в + Sloc	образ действия	43431
бесить	11672	1	прямо	ADV	непосредственность	43455
бесить	16236	1	гак	ADV	степень	43420
бесить,бесить,взбесить,взбесить	1074	1	Вот почему	ADV	мотивировка	36821
бесить,бесить,взбесить,взбесить	1074	1	порой	Sins	узуальность	43432
бесить,бесить,взбесить,взбесить	1074	1	тогда	ADV	время	43452
бесить,бесить,взбесить,взбесить	1074	1	Иногда	ADV	узуальность	43464
бесить,бесить,взбесить,взбесить	1074	1	Так что	CONJ	причина	43805
бесить,взбесить	1074	1	Поначалу	ADV		36824
бесить,взбесить	1074	1	больше всего	ADV	степень	36827
бесить,взбесить	1074	1	больше всего	ADV	степень	43406
бесить,взбесить	1074	1	Более же всего	ADV	степень	43415
бесить,взбесить	1074	1	Как же	ADV	причина	43418
бесить,взбесить	1074	1	больше всего	ADV	степень	43419
